Weight	Nested	Procedure	TalkerFolder	PHONETIC	TLoc01	TLoc02	TLoc03	TLoc04	WORD	TARGETSYLLABLE	SyllableFile01	SyllableFile02	SyllableFile03	SyllableFile04	SyllableFile05	SyllableFile06	SyllableFile07	SyllableFile08	SyllableFile09	SyllableFile10	SyllableFile11	SyllableFile12	SyllableFile13	SyllableFile14	SyllableFile15	SyllableFile16	SyllableFile17	SyllableFile18	SyllableFile19	SyllableFile20	SyllableFile21	SyllableFile22	SyllableFile23	SyllableFile24	SyllableFile25	SyllableFile26	SyllableFile27	SyllableFile28	SyllableFile29	SyllableFile30	SyllableFile31	SyllableFile32	SyllableFile33	SyllableFile34	SyllableFile35	SyllableFile36	SyllableFile37	SyllableFile38	SyllableFile39	SyllableFile40	SyllableFile41	SyllableFile42	SyllableFile43	SyllableFile44	SyllableFile45	SyllableFile46	SyllableFile47	SyllableFile48
1	 	TargetRTProc	B	KEE	3	7	12	15	FU_KI_MAI	KI	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav
1	 	TargetRTProc	B	KEE	2	5	7	11	FU_KI_MAI	KI	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav
1	 	TargetRTProc	B	KEE	7	9	13	15	FU_KI_MAI	KI	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav
1	 	TargetRTProc	B	KEE	5	8	10	12	FU_KI_MAI	KI	mi.wav	lu.wav	ga.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav
1	 	TargetRTProc	B	KEE	2	4	8	14	FU_KI_MAI	KI	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav
1	 	TargetRTProc	B	KEE	2	7	9	13	FU_KI_MAI	KI	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav
1	 	TargetRTProc	B	KEE	3	5	7	11	FU_KI_MAI	KI	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav
1	 	TargetRTProc	B	KEE	4	6	8	10	FU_KI_MAI	KI	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav
1	 	TargetRTProc	B	KEE	6	8	12	15	FU_KI_MAI	KI	mi.wav	lu.wav	ga.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	to.wav	ne.wav	pau.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	to.wav	ne.wav	pau.wav
1	 	TargetRTProc	B	MAI	3	5	7	13	FU_KI_MAI	MAI	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	fu.wav	ki.wav	mai.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	to.wav	ne.wav	pau.wav	mi.wav	lu.wav	ga.wav	mi.wav	lu.wav	ga.wav	fu.wav	ki.wav	mai.wav	ra.wav	fi.wav	nu.wav	to.wav	ne.wav	pau.wav	ra.wav	fi.wav	nu.wav
